trading_date,factor_group,mean,count
2024-12-13,G4,-0.02443165419386643,1016
2024-12-13,G5,-0.04462409879801255,1017
2024-12-16,G1,-0.03730375456315085,1018
2024-12-16,G2,-0.04181444507221523,1017
2024-12-16,G3,-0.05114788275038203,1017
2024-12-16,G4,-0.06054671688002627,1017
2024-12-16,G5,-0.09268330486170062,1018
2024-12-17,G1,0.0003166739650104503,1017
2024-12-17,G2,-0.006692685459441303,1017
2024-12-17,G3,-0.011932979186053787,1016
2024-12-17,G4,-0.013310696480147367,1017
2024-12-17,G5,-0.035796630602417424,1017
2024-12-18,G1,-0.025494067832400717,1017
2024-12-18,G2,-0.02728629206291754,1017
2024-12-18,G3,-0.03349495924410761,1017
2024-12-18,G4,-0.03930323654185852,1017
2024-12-18,G5,-0.06400322982387878,1017
2024-12-19,G1,-0.021069789291986253,1017
2024-12-19,G2,-0.018281696725858405,1017
2024-12-19,G3,-0.023193716582832168,1017
2024-12-19,G4,-0.024768586180175387,1017
2024-12-19,G5,-0.045891306627868306,1017
2024-12-20,G1,-0.02832689859728196,1018
2024-12-20,G2,-0.02382588811124679,1017
2024-12-20,G3,-0.024977394731585303,1018
2024-12-20,G4,-0.03147942950614727,1017
2024-12-20,G5,-0.04765968622297689,1018
2024-12-23,G1,0.001761072908679762,1018
2024-12-23,G2,0.002973853453736198,1017
2024-12-23,G3,0.004113855771458392,1017
2024-12-23,G4,0.00014675897796700244,1017
2024-12-23,G5,-0.009231151786380235,1017
2024-12-24,G1,-0.035237717824710336,1017
2024-12-24,G2,-0.0323880005827926,1017
2024-12-24,G3,-0.030042882079370475,1017
2024-12-24,G4,-0.03011970772649631,1017
2024-12-24,G5,-0.04075799312123538,1017
2024-12-25,G1,-0.04265277284376227,1017
2024-12-25,G2,-0.038837141381079424,1017
2024-12-25,G3,-0.03411613597616951,1016
2024-12-25,G4,-0.02656888404037462,1017
2024-12-25,G5,-0.023115985832750274,1017
2024-12-26,G1,-0.08493194543229232,1018
2024-12-26,G2,-0.07610420287934531,1017
2024-12-26,G3,-0.07334592732975079,1017
2024-12-26,G4,-0.06965582559773854,1017
2024-12-26,G5,-0.09086355362620027,1018
2024-12-27,G1,-0.0927219122884339,1018
2024-12-27,G2,-0.08325054462964045,1016
2024-12-27,G3,-0.0813818052757428,1017
2024-12-27,G4,-0.08441385199014965,1017
2024-12-27,G5,-0.10701601428195649,1017
2024-12-30,G1,-0.06938896272793675,1016
2024-12-30,G2,-0.0627112208244481,1016
2024-12-30,G3,-0.05512985174420251,1016
2024-12-30,G4,-0.055129775722174215,1016
2024-12-30,G5,-0.06659675077814325,1017
2024-12-31,G1,-0.04693795750202895,1016
2024-12-31,G2,-0.04109133005259296,1017
2024-12-31,G3,-0.03893651003367452,1017
2024-12-31,G4,-0.03486073965875609,1017
2024-12-31,G5,-0.03391894069102938,1017
2025-01-02,G1,-0.01740731564389823,1016
2025-01-02,G2,-0.019176951821404397,1016
2025-01-02,G3,-0.017561517859351485,1017
2025-01-02,G4,-0.01740387902007971,1016
2025-01-02,G5,-0.019510715342565106,1017
2025-01-03,G1,-0.003597332439375016,1016
2025-01-03,G2,-0.007112054060371546,1016
2025-01-03,G3,-0.008116780081807086,1017
2025-01-03,G4,-0.009918028174931252,1017
2025-01-03,G5,-0.011630434956699078,1017
2025-01-06,G1,0.0058757644812321526,1017
