参数组合,参数结果,综合得分
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 134, '调整正确率(%)': '56.19', '预计平均亏损改善(%)': '2.2056'}",0.4986705195187905
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 151, '调整正确率(%)': '53.46', '预计平均亏损改善(%)': '2.1634'}",0.4980195461417618
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 85, '调整正确率(%)': '64.26', '预计平均亏损改善(%)': '2.3047'}",0.497967137287987
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 103, '调整正确率(%)': '58.72', '预计平均亏损改善(%)': '2.3872'}",0.49639557483796365
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 99, '调整正确率(%)': '62.53', '预计平均亏损改善(%)': '2.2322'}",0.49495862112942757
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 96, '调整正确率(%)': '58.36', '预计平均亏损改善(%)': '2.4680'}",0.4945621981731164
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 120, '调整正确率(%)': '56.59', '预计平均亏损改善(%)': '2.2946'}",0.49150563553508836
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 114, '调整正确率(%)': '55.33', '预计平均亏损改善(%)': '2.4129'}",0.4903100362956821
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 90, '调整正确率(%)': '60.06', '预计平均亏损改善(%)': '2.4221'}",0.4898086179063345
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 146, '调整正确率(%)': '52.80', '预计平均亏损改善(%)': '2.2064'}",0.4895771957226752
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 81, '调整正确率(%)': '58.12', '预计平均亏损改善(%)': '2.6083'}",0.489303589863258
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 129, '调整正确率(%)': '54.41', '预计平均亏损改善(%)': '2.2973'}",0.4888143315410654
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 86, '调整正确率(%)': '63.14', '预计平均亏损改善(%)': '2.3021'}",0.48811974205652453
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 119, '调整正确率(%)': '54.11', '预计平均亏损改善(%)': '2.4111'}",0.4880459891633097
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 181, '调整正确率(%)': '55.13', '预计平均亏损改善(%)': '1.7220'}",0.48762554117630097
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 128, '调整正确率(%)': '53.88', '预计平均亏损改善(%)': '2.3263'}",0.4872593502878975
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 56, '调整正确率(%)': '62.83', '预计平均亏损改善(%)': '2.6176'}",0.48650904143834584
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 94, '调整正确率(%)': '60.94', '预计平均亏损改善(%)': '2.3171'}",0.4856426725538946
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 178, '调整正确率(%)': '55.71', '预计平均亏损改善(%)': '1.7132'}",0.4854031857574959
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 124, '调整正确率(%)': '54.89', '预计平均亏损改善(%)': '2.3080'}",0.48536035183670084
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 184, '调整正确率(%)': '54.80', '预计平均亏损改善(%)': '1.6958'}",0.48520435723714467
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 151, '调整正确率(%)': '59.72', '预计平均亏损改善(%)': '1.7897'}",0.48506107043001934
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 139, '调整正确率(%)': '54.12', '预计平均亏损改善(%)': '2.1870'}",0.4842846617148926
